Pathway Title,ID,Organism,Last Edited,Communities,Pathway Terms,Disease Terms,Cell Types
Bardet-Biedl syndrome,WP5234,Homo sapiens,10 Dec 2022,RareDiseases,disease pathway,"ciliopathy, Bardet-Biedl syndrome, genetic disease",
Base excision repair,WP4752,Homo sapiens,14 Nov 2023,"CPTAC, PancCanNet","DNA repair pathway, base excision repair pathway, regulatory pathway",,
Benzene metabolism,WP3891,Homo sapiens,16 Aug 2019,,"classic metabolic pathway, phase I biotransformation pathway via cytochrome P450, regulatory pathway",,"hepatocyte, native cell"
Benzo(a)pyrene metabolism,WP3263,Bos taurus,07 Jun 2018,,"xenobiotics biodegradation pathway, cellular detoxification pathway, benzo(a)pyrene metabolic pathway, classic metabolic pathway, regulatory pathway",,
Benzo(a)pyrene metabolism,WP696,Homo sapiens,20 Aug 2019,,"benzo(a)pyrene metabolic pathway, cellular detoxification pathway, xenobiotics biodegradation pathway, classic metabolic pathway, regulatory pathway",,
Beta-alanine biosynthesis,WP2207,Oryza sativa,21 May 2021,,classic metabolic pathway,,
Beta-oxidation meta-pathway,WP372,Rattus norvegicus,04 Jun 2021,,"fatty acid beta degradation pathway, classic metabolic pathway",,
Beta-oxidation of unsaturated fatty acids,WP418,Rattus norvegicus,04 Jun 2021,,"fatty acid beta degradation pathway, classic metabolic pathway",,
Beta-oxidation of unsaturated fatty acids,WP471,Caenorhabditis elegans,09 Oct 2021,Lipids,"fatty acid beta degradation pathway, classic metabolic pathway",,
Bile acids synthesis and enterohepatic circulation,WP4389,Homo sapiens,09 May 2021,,"bile acid biosynthetic pathway, classic metabolic pathway",,
Biochemical pathways: part I,WP3604,Homo sapiens,22 May 2021,,classic metabolic pathway,,
Biogenic amine synthesis,WP1118,Canis familiaris,21 May 2021,,"biogenic amine biosynthetic pathway, classic metabolic pathway",,
Biogenic amine synthesis,WP125,Drosophila melanogaster,04 Jan 2022,,"biogenic amine biosynthetic pathway, classic metabolic pathway",,
Biogenic amine synthesis,WP154,Danio rerio,14 May 2021,,"biogenic amine biosynthetic pathway, dopamine degradation pathway, classic metabolic pathway",,
Biogenic amine synthesis,WP3168,Bos taurus,21 May 2021,,"biogenic amine biosynthetic pathway, amine neurotransmitter metabolic pathway, classic metabolic pathway",,
Biogenic amine synthesis,WP522,Mus musculus,14 May 2021,,"biogenic amine biosynthetic pathway, classic metabolic pathway",,
Biogenic amine synthesis,WP550,Homo sapiens,19 Apr 2023,,"biogenic amine biosynthetic pathway, amine neurotransmitter metabolic pathway, classic metabolic pathway",,
Biomarkers for pyrimidine metabolism disorders,WP4584,Homo sapiens,23 Jun 2021,,"orotic aciduria 1 pathway, beta-ureidopropionase deficiency pathway, inborn error of purine-pyrimidine metabolism pathway, dihydropyrimidine dehydrogenase deficiency pathway, pyrimidine metabolic pathway, disease pathway, classic metabolic pathway","pyrimidine metabolic disorder, orotic aciduria, dihydropyrimidine dehydrogenase deficiency, genetic disease",
Biomarkers for urea cycle disorders,WP4583,Homo sapiens,17 Sep 2019,,"urea cycle pathway, inborn error of urea cycle pathway, classic metabolic pathway, disease pathway","carbamoyl phosphate synthetase I deficiency disease, hyperargininemia, ornithine carbamoyltransferase deficiency, urea cycle disorder, citrullinemia, argininosuccinic aciduria, genetic disease",
Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine,WP4156,Homo sapiens,01 Apr 2023,"IEM, RareDiseases","tetrahydrobiopterin metabolic pathway, dopa responsive dystonia pathway, phenylketonuria pathway, phenylalanine degradation pathway, Segawa syndrome pathway, classic metabolic pathway, disease pathway","sepiapterin reductase deficiency, BH4-deficient hyperphenylalaninemia B, BH4-deficient hyperphenylalaninemia A, megaloblastic anemia, dystonia 5, phenylketonuria, aromatic L-amino acid decarboxylase deficiency, genetic disease,",
Biosynthesis and regulation of nematode bile acids,WP2293,Caenorhabditis elegans,16 Aug 2019,,"bile acid biosynthetic pathway, classic metabolic pathway",,
Biosynthesis and turnover of 1-deoxy-sphingoid bases,WP5179,Homo sapiens,10 Dec 2022,,"sphingolipidosis pathway, sphingolipid biosynthetic pathway, sphingolipid metabolic pathway, classic metabolic pathway, disease pathway","hereditary sensory and autonomic neuropathy type 1, diabetes mellitus, , disease of metabolism",
Biosynthesis of aldosterone and cortisol,WP508,Rattus norvegicus,16 May 2021,,"C21-steroid hormone biosynthetic pathway, classic metabolic pathway",,
Biosynthesis of anthocyanins from phenylalanine in purple corn,WP5421,Zea mays,23 Oct 2023,,classic metabolic pathway,,
Biosynthesis of gamma-aminobutyric acid (GABA) by polyamine oxidation,WP4232,Arabidopsis thaliana,19 May 2021,,"gamma-aminobutyric acid metabolic pathway, putrescine metabolic pathway, polyamine metabolic pathway, classic metabolic pathway, amino acid neurotransmitter metabolic pathway, regulatory pathway",,
Biosynthesis of the three types of mycolic acids,WP4198,Mycobacterium tuberculosis,08 May 2021,,,"tuberculosis, disease by infectious agent",
Biotic stress response gene network,WP4364,Oryza sativa,09 May 2021,,"stress response pathway, signaling pathway, regulatory pathway",,
Biotin metabolism,WP1631,Mycobacterium tuberculosis,28 Apr 2023,,"biotin metabolic pathway, classic metabolic pathway",,
"Biotin metabolism, including IMDs",WP5031,Homo sapiens,17 Jun 2021,"IEM, RareDiseases","3-methylcrotonyl CoA carboxylase 2 deficiency pathway, 3-methylcrotonyl CoA carboxylase 1 deficiency pathway, biotin metabolic pathway, holocarboxylase synthetase deficiency pathway, biotinidase deficiency pathway, pyruvate carboxylase deficiency pathway, disease pathway, classic metabolic pathway","3-Methylcrotonyl-CoA carboxylase 2 deficiency, pyruvate carboxylase deficiency disease, 3-Methylcrotonyl-CoA carboxylase 1 deficiency, 3-Methylcrotonyl-CoA carboxylase deficiency, holocarboxylase synthetase deficiency, biotinidase deficiency, genetic disease",
Bladder cancer,WP2828,Homo sapiens,02 Sep 2023,"CPTAC, Diseases","cancer pathway, disease pathway","urinary bladder cancer, papillary renal cell carcinoma, cancer, bladder disease, disease of cellular proliferation","bladder urothelial cell, animal cell"
Blood clotting and drug effects,WP4580,Homo sapiens,23 Jun 2021,,"coagulation cascade pathway, regulatory pathway",,
Blood clotting cascade,WP1122,Canis familiaris,21 May 2021,,"coagulation cascade pathway, regulatory pathway",,
Blood clotting cascade,WP272,Homo sapiens,24 Apr 2023,,"coagulation cascade pathway, regulatory pathway",,
Blood clotting cascade,WP3251,Bos taurus,31 Jan 2022,,"coagulation cascade pathway, regulatory pathway",,
Blood clotting cascade,WP460,Mus musculus,23 May 2021,,"coagulation cascade pathway, regulatory pathway",,
Blood clotting cascade,WP775,Gallus gallus,18 May 2021,,"coagulation cascade pathway, regulatory pathway",,
Blood clotting cascade,WP887,Pan troglodytes,21 May 2021,,"coagulation cascade pathway, regulatory pathway",,
Bone morphogenic protein signaling and regulation,WP1425,Homo sapiens,20 Apr 2023,,"Bone morphogenetic proteins signaling pathway, signaling pathway",,
Brain derived neurotrophic factor,WP2148,Rattus norvegicus,17 Dec 2016,,"brain-derived neurotrophic factor signaling pathway, signaling pathway",,
Brain-derived neurotrophic factor (BDNF) signaling pathway,WP2380,Homo sapiens,25 Apr 2023,,"brain-derived neurotrophic factor signaling pathway, signaling pathway",,
Brassinolide biosynthetic pathway,WP2634,Arabidopsis thaliana,18 Jan 2023,,"lipid metabolic pathway, classic metabolic pathway",,
Breast cancer pathway,WP4262,Homo sapiens,21 Sep 2023,"CPTAC, Diseases","breast cancer pathway, phosphatidylinositol 3-kinase-Akt signaling pathway, Notch signaling pathway, cancer pathway, disease pathway, signaling pathway","cancer, disease of cellular proliferation",
Burn Wound Healing,WP5058,Sus scrofa,21 Jul 2021,,"cell-extracellular matrix signaling pathway, signaling pathway",,"keratinocyte, macrophage, endothelial cell, fibroblast, animal cell, native cell"
Burn wound healing,WP5055,Homo sapiens,23 Nov 2021,,"immune response pathway, cell-extracellular matrix signaling pathway, regulatory pathway, signaling pathway",,"fibroblast, endothelial cell, keratinocyte, myofibroblast cell, animal cell, native cell"
Burn wound healing,WP5056,Mus musculus,20 Aug 2021,,"cell-extracellular matrix signaling pathway, immune response pathway, signaling pathway, regulatory pathway",,"fibroblast, endothelial cell, keratinocyte, myofibroblast cell, animal cell, native cell"
Burn wound healing,WP5057,Rattus norvegicus,01 Feb 2023,,"cell-extracellular matrix signaling pathway, immune response pathway, signaling pathway, regulatory pathway",,"endothelial cell, keratinocyte, myofibroblast cell, fibroblast, native cell, animal cell"
Butyrate-induced histone acetylation,WP2366,Homo sapiens,08 Jul 2019,,classic metabolic pathway,,
Butyrate-induced histone acetylation,WP3249,Bos taurus,09 Mar 2021,,classic metabolic pathway,,
CAMKK2 pathway,WP4874,Homo sapiens,30 May 2023,,"calcium/calcium-mediated signaling pathway, regulatory pathway","cancer, disease of cellular proliferation",
CBD synthetic pathway,WP5392,Arabidopsis thaliana,27 Jun 2023,,classic metabolic pathway,,
CCL18 signaling pathway,WP5097,Homo sapiens,01 May 2023,CPTAC,signaling pathway,,
CFTR activity in the plasma membrane,WP1488,Rattus norvegicus,21 Apr 2023,,"chloride ion transport pathway, regulatory pathway",,
CKAP4 signaling pathway map,WP5322,Homo sapiens,09 Nov 2023,,,"oral cavity cancer, bladder carcinoma, cervical cancer, cancer, breast cancer, esophagus squamous cell carcinoma, hepatocellular carcinoma, disease of cellular proliferation",
COVID-19 adverse outcome pathway,WP4891,Homo sapiens,10 Dec 2021,"AOP, COVID19","respiratory system disease pathway, signaling pathway, disease pathway","severe acute respiratory syndrome, pulmonary fibrosis, viral infectious disease, COVID-19, disease by infectious agent,",
COVID-19 and endothelial cell senescence,WP5256,Homo sapiens,10 Dec 2022,COVID19,"type I interferon signaling pathway, signaling pathway","viral infectious disease, COVID-19, severe acute respiratory syndrome, disease by infectious agent",
"COVID-19, thrombosis and anticoagulation",WP4927,Homo sapiens,26 Feb 2022,COVID19,disease pathway,"severe acute respiratory syndrome, COVID-19, thrombosis, blood coagulation disease, disease by infectious agent, cardiovascular system disease","hepatocyte, native cell"
CRD motif and sFRPs influence on Wnt signaling,WP4231,Danio rerio,15 Mar 2018,,"Wnt signaling pathway, signaling pathway",,"embryonic stem cell, animal cell"
Cadmium and glutathione,WP2579,Arabidopsis thaliana,17 Sep 2019,,"cellular detoxification pathway, regulatory pathway",,
Caffeine and theobromine metabolism,WP3633,Homo sapiens,27 May 2021,,"caffeine metabolic pathway, xenobiotic metabolic pathway, classic metabolic pathway",,
Calcium regulation in cardiac cell,WP1043,Bos taurus,21 May 2021,,"calcium/calcium-mediated signaling pathway, regulatory pathway",cardiovascular system disease,"cardiac muscle cell, native cell"
Calcium regulation in cardiac cells,WP1159,Canis familiaris,21 May 2021,,"calcium/calcium-mediated signaling pathway, regulatory pathway",cardiovascular system disease,"cardiac muscle cell, native cell"
Calcium regulation in cardiac cells,WP536,Homo sapiens,19 Apr 2023,,"calcium/calcium-mediated signaling pathway, regulatory pathway",cardiovascular system disease,"cardiac muscle cell, native cell"
Calcium regulation in cardiac cells,WP553,Mus musculus,23 May 2021,,"calcium/calcium-mediated signaling pathway, regulatory pathway",cardiovascular system disease,"cardiac muscle cell, native cell"
Calcium regulation in cardiac cells,WP808,Gallus gallus,18 May 2021,,"calcium/calcium-mediated signaling pathway, regulatory pathway",cardiovascular system disease,"cardiac muscle cell, native cell"
Calcium regulation in cardiac cells,WP923,Pan troglodytes,21 May 2021,,"calcium/calcium-mediated signaling pathway, regulatory pathway",cardiovascular system disease,"cardiac muscle cell, native cell"
Caloric restriction and aging,WP4191,Homo sapiens,21 Aug 2019,,"aging pathway, autophagy pathway, oxidative stress response pathway, regulatory pathway",,
Calvin cycle,WP2860,Populus trichocarpa,23 Jan 2019,,"photosynthesis pathway, classic metabolic pathway",,
Cancer immunotherapy by CTLA4 blockade,WP4582,Homo sapiens,29 Nov 2019,CPTAC,"adaptive immune response pathway, immune response pathway, cancer pathway, regulatory pathway, disease pathway","cancer, disease of cellular proliferation","T cell, professional antigen presenting cell, native cell"
Cancer immunotherapy by PD-1 blockade,WP4585,Homo sapiens,26 Aug 2023,CPTAC,"cancer pathway, adaptive immune response pathway, disease pathway, regulatory pathway","cancer, disease of cellular proliferation","T cell, native cell"
Cannabinoid receptor signaling,WP3869,Homo sapiens,27 May 2021,Diseases,"cannabinoid signaling pathway, xenobiotic metabolic pathway, signaling pathway, classic metabolic pathway",,"leukocyte, neuron, native cell, animal cell"
Canonical NF-kB pathway,WP4562,Homo sapiens,23 May 2021,,"nuclear factor kappa B signaling pathway, signaling pathway",,
Canonical and non-canonical Notch signaling,WP3845,Homo sapiens,07 May 2021,,"signaling pathway, Notch signaling pathway",,
Canonical and non-canonical TGF-B signaling,WP3874,Homo sapiens,07 May 2021,,"Bone morphogenetic proteins signaling pathway, signaling pathway",primary angle-closure glaucoma,
Carbon assimilation C4 pathway,WP1493,Zea mays,01 Feb 2023,,"carbon fixation pathway, classic metabolic pathway",,
Carbon monoxide dehydrogenase pathway,WP280,Saccharomyces cerevisiae,27 Sep 2016,,classic metabolic pathway,,
Cardiac hypertrophic response,WP2795,Homo sapiens,22 May 2021,,"hypertrophic cardiomyopathy pathway, disease pathway","hypertrophic cardiomyopathy, cardiovascular system disease","cardiac muscle cell, native cell"
Cardiac hypertrophic response,WP3250,Bos taurus,21 May 2021,,"hypertrophic cardiomyopathy pathway, disease pathway",,
Cardiac progenitor differentiation,WP2406,Homo sapiens,22 Jun 2021,,regulatory pathway,,"cardiac muscle cell, native cell"
Cardiac progenitor differentiation,WP3127,Bos taurus,01 Feb 2023,,regulatory pathway,,"regular cardiac myocyte, cardiac muscle cell, native cell"
Cardiolipin biosynthesis,WP2208,Oryza sativa,01 Feb 2023,,"cardiolipin biosynthetic pathway, classic metabolic pathway",,
Cardiomyocyte signaling pathways converging on Titin,WP5344,Homo sapiens,01 May 2023,,"signaling pathway, Ras superfamily mediated signaling pathway",,
Cardiovascular signaling,WP590,Rattus norvegicus,16 May 2021,,"signaling pathway, cardiovascular system homeostasis pathway, regulatory pathway",,
Carnosine metabolism of glial cells,WP5313,Homo sapiens,14 Nov 2023,,classic metabolic pathway,,"glial cell, animal cell"
Carotenoid biosynthesis,WP2205,Zea mays,21 May 2021,,"carotenoid biosynthetic pathway, classic metabolic pathway",,
Catalytic cycle of mammalian FMOs,WP3281,Bos taurus,10 Nov 2019,,"cellular detoxification pathway, regulatory pathway",,
Catalytic cycle of mammalian flavin-containing monooxygenases (FMOs),WP688,Homo sapiens,22 May 2021,,"cellular detoxification pathway, regulatory pathway",,
Catecholamine synthesis,WP513,Rattus norvegicus,01 Feb 2023,,"catecholamine biosynthetic pathway, classic metabolic pathway",,
Cell cycle,WP1083,Bos taurus,08 Dec 2021,,"cell cycle pathway, mitotic, regulatory pathway",,
Cell cycle,WP1200,Canis familiaris,01 Jul 2020,,"cell cycle pathway, regulatory pathway",,
Cell cycle,WP1393,Danio rerio,01 Jul 2020,,"cell cycle pathway, regulatory pathway",,
Cell cycle,WP179,Homo sapiens,02 Sep 2023,"CPTAC, PancCanNet","cell cycle pathway, mitotic, regulatory pathway",,
Cell cycle,WP844,Gallus gallus,18 Mar 2020,,"cell cycle pathway, regulatory pathway",,
Cell cycle,WP964,Pan troglodytes,03 Jul 2020,,"cell cycle pathway, regulatory pathway",,
Cell cycle and cell division,WP414,Saccharomyces cerevisiae,20 May 2021,,"cell cycle pathway, mitotic, regulatory pathway",,
